index,chinese_idiom,pinyin
1134,大贤虎变,da4 xian2 hu3 bian4
1135,大败亏输,da4 bai4 kui1 shu1
1136,大辩若讷,da4 bian4 ruo4 ne4
1137,大逆不道,da4 ni4 bu4 dao4
1138,大醇小疵,da4 chun2 xiao3 ci1
1139,大难临头,da4 nan4 lin2 tou2
1140,大音希声,da4 yin1 xi1 sheng1
1141,大马金刀,da4 ma3 jin1 dao1
1142,天下太平,tian1 xia4 tai4 ping2
1143,天不绝人,tian1 bu4 jue2 ren2
1144,天人共鉴,tian1 ren2 gong4 jian4
1145,天作之合,tian1 zuo4 zhi1 he2
1146,天公地道,tian1 gong1 di4 dao4
1147,天南地北,tian1 nan2 di4 bei3
1148,天各一方,tian1 ge4 yi1 fang1
1149,天壤之别,tian1 rang3 zhi1 bie2
1150,天寒地冻,tian1 han2 di4 dong4
1151,天崩地裂,tian1 beng1 di4 lie4
1152,天差地远,tian1 cha1 di4 yuan3
1153,天府之国,tian1 fu3 zhi1 guo2
1154,天旋地转,tian1 xuan2 di4 zhuan4
1155,天昏地暗,tian1 hun1 di4 an4
1156,天朗气清,tian1 lang3 qi4 qing1
1157,天涯海角,tian1 ya2 hai3 jiao3
1158,天灾人祸,tian1 zai1 ren2 huo4
1159,天理人情,tian1 li3 ren2 qing2
1160,天真烂漫,tian1 zhen1 lan4 man4
1161,天籁自鸣,tian1 lai4 zi4 ming2
1162,天经地义,tian1 jing1 di4 yi4
1163,天网恢恢,tian1 wang3 hui1 hui1
1164,天罗地网,tian1 luo2 di4 wang3
1165,天翻地覆,tian1 fan1 di4 fu4
1166,天花乱坠,tian1 hua1 luan4 zhui4
1167,天衣无缝,tian1 yi1 wu2 feng4
1168,天造地设,tian1 zao4 di4 she4
1169,天道好还,tian1 dao4 hao3 huan2
1170,天长地久,tian1 chang2 di4 jiu3
1171,天随人愿,tian1 sui2 ren2 yuan4
1172,天马行空,tian1 ma3 xing2 kong1
1173,天高地厚,tian1 gao1 di4 hou4
1174,夫唱妇随,fu1 chang4 fu4 sui2
1175,失之交臂,shi1 zhi1 jiao1 bi4
1176,失张失智,shi1 zhang1 shi1 zhi4
1177,失魂落魄,shi1 hun2 luo4 po4
1178,头头是道,tou2 tou2 shi4 dao4
1179,头昏眼花,tou2 hun1 yan3 hua1
1180,头破血流,tou2 po4 xue4 liu2
1181,头角峥嵘,tou2 jiao3 zheng1 rong2
1182,头重脚轻,tou2 zhong4 jiao3 qing1
1183,夸夸其谈,kua1 kua1 qi2 tan2
1184,夸父逐日,kua1 fu4 zhu2 ri4
1185,奇形怪状,qi2 xing2 guai4 zhuang4
1186,奇珍异宝,qi2 zhen1 yi4 bao3
1187,奇花异草,qi2 hua1 yi4 cao3
1188,奇装异服,qi2 zhuang1 yi4 fu2
1189,奉为圭臬,feng4 wei2 gui1 nie4
1190,奉令承教,feng4 ling4 cheng2 jiao4
1191,奉公守法,feng4 gong1 shou3 fa3
1192,奉命惟谨,feng4 ming4 wei2 jin3
1193,奉若神明,feng4 ruo4 shen2 ming2
1194,奉行故事,feng4 xing2 gu4 shi4
1195,奉辞伐罪,feng4 ci2 fa2 zui4
1196,奋不顾身,fen4 bu4 gu4 shen1
1197,奋笔疾书,fen4 bi3 ji2 shu1
1198,奋起直追,fen4 qi3 zhi2 zhui1
1199,奔走相告,ben1 zou3 xiang1 gao4
1200,女中豪杰,nv3 zhong1 hao2 jie2
1201,女大难留,nv3 da4 nan2 liu2
1202,女娲补天,nv3 wa1 bu3 tian1
1203,好为人师,hao4 wei2 ren2 shi1
1204,好事多磨,hao3 shi4 duo1 mo2
1205,好吃懒做,hao4 chi1 lan3 zuo4
1206,好善乐施,hao4 shan4 le4 shi1
1207,好大喜功,hao4 da4 xi3 gong1
1208,好好先生,hao3 hao3 xian1 sheng1
1209,好意难却,hao3 yi4 nan2 que4
1210,好景不长,hao3 jing3 bu4 chang2
1211,好生之德,hao4 sheng1 zhi1 de2
1212,好行小惠,hao4 xing2 xiao3 hui4
1213,好语似珠,hao3 yu3 si4 zhu1
1214,好逸恶劳,hao4 yi4 wu4 lao2
1215,好问则裕,hao4 wen4 ze2 yu4
1216,好高骛远,hao4 gao1 wu4 yuan3
1217,如丧考妣,ru2 sang4 kao3 bi3
1218,如临深渊,ru2 lin2 shen1 yuan1
1219,如出一辙,ru2 chu1 yi1 zhe2
1220,如坐针毡,ru2 zuo4 zhen1 zhan1
1221,如履薄冰,ru2 lv3 bo2 bing1
1222,如影随形,ru2 ying3 sui2 xing2
1223,如意算盘,ru2 yi4 suan4 pan2
1224,如愿以偿,ru2 yuan4 yi3 chang2
1225,如数家珍,ru2 shu3 jia1 zhen1
1226,如梦初醒,ru2 meng4 chu1 xing3
1227,如汤沃雪,ru2 tang1 wo4 xue3
1228,如法炮制,ru2 fa3 pao2 zhi4
1229,如火如荼,ru2 huo3 ru2 tu2
1230,如烹小鲜,ru2 peng1 xiao3 xian1
1231,如牛负重,ru2 niu2 fu4 zhong4
1232,如狼似虎,ru2 lang2 si4 hu3
1233,如痴如醉,ru2 chi1 ru2 zui4
1234,如箭在弦,ru2 jian4 zai4 xian2
1235,如胶似漆,ru2 jiao1 si4 qi1
1236,如芒在背,ru2 mang2 zai4 bei4
1237,如花似玉,ru2 hua1 si4 yu4
1238,如获至宝,ru2 huo4 zhi4 bao3
1239,如虎添翼,ru2 hu3 tian1 yi4
1240,如醉方醒,ru2 zui4 fang1 xing3
1241,如雷灌耳,ru2 lei2 guan4 er3
1242,如饥似渴,ru2 ji1 si4 ke3
1243,如鲠在喉,ru2 geng3 zai4 hou2
1244,妄自菲薄,wang4 zi4 fei3 bo2
1245,妇孺皆知,fu4 ru2 jie1 zhi1
1246,妒贤嫉能,du4 xian2 ji2 neng2
1247,妖言惑众,yao1 yan2 huo4 zhong4
1248,妖魔鬼怪,yao1 mo2 gui3 guai4
1249,妙不可言,miao4 bu4 ke3 yan2
1250,妙处不传,miao4 chu4 bu4 chuan2
1251,妙手回春,miao4 shou3 hui2 chun1
1252,妙笔生花,miao4 bi3 sheng1 hua1
1253,妙绝时人,miao4 jue2 shi2 ren2
1254,妙语连珠,miao4 yu3 lian2 zhu1
1255,妙趣横生,miao4 qu4 heng2 sheng1
1256,妻离子散,qi1 li2 zi3 san4
1257,始乱终弃,shi3 luan4 zhong1 qi4
1258,始作俑者,shi3 zuo4 yong3 zhe3
1259,始终如一,shi3 zhong1 ru2 yi1
1260,姑妄听之,gu1 wang4 ting1 zhi1
1261,姑息养奸,gu1 xi1 yang3 jian1
1262,委曲求全,wei3 qu1 qiu2 quan2
1263,委靡不振,wei3 mi3 bu4 zhen4
1264,姗姗来迟,shan1 shan1 lai2 chi2
1265,姹紫嫣红,cha4 zi3 yan1 hong2
1266,威风凛凛,wei1 feng1 lin3 lin3
1267,娇生惯养,jiao1 sheng1 guan4 yang3
1268,娓娓动听,wei3 wei3 dong4 ting1
1269,婀娜多姿,e1 nuo2 duo1 zi1
1270,婉言谢绝,wan3 yan2 xie4 jue2
1271,嫦娥奔月,chang2 e2 ben1 yue4
1272,嬉皮笑脸,xi1 pi2 xiao4 lian3
1273,子承父业,zi cheng2 fu4 ye4
1274,孑然一身,jie2 ran2 yi1 shen1
1275,孔武有力,kong3 wu3 you3 li4
1276,字字珠玑,zi4 zi4 zhu1 ji1
1277,字里行间,zi4 li3 hang2 jian1
1278,孜孜不倦,zi1 zi1 bu4 juan4
1279,孝子贤孙,xiao4 zi3 xian2 sun1
1280,孤家寡人,gu1 jia1 gua3 ren2
1281,孤掌难鸣,gu1 zhang3 nan2 ming2
1282,孤注一掷,gu1 zhu4 yi2 zhi4
1283,孤立无援,gu1 li4 wu2 yuan2
1284,孤芳自赏,gu1 fang1 zi4 shang3
1285,孤苦伶仃,gu1 ku3 ling2 ding1
1286,孤身只影,gu1 shen1 zhi1 ying3
1287,学富五车,xue2 fu4 wu3 che1
1288,学海无涯,xue2 hai3 wu2 ya2
1289,学究天人,xue2 jiu1 tian1 ren2
1290,学贯中西,xue2 guan4 zhong1 xi1
1291,宁死不屈,ning4 si3 bu4 qu1
1292,宁缺毋滥,ning4 que1 wu2 lan4
1293,宁静致远,ning2 jing4 zhi4 yuan3
1294,宅心仁厚,zhai2 xin1 ren2 hou4
1295,守口如瓶,shou3 kou3 ru2 ping2
1296,守株待兔,shou3 zhu1 dai4 tu4
1297,守经达权,shou3 jing1 da2 quan2
1298,守身如玉,shou3 shen1 ru2 yu4
1299,安之若命,an1 zhi1 ruo4 ming4
1300,安分守己,an1 fen4 shou3 ji3
1301,安土重迁,an1 tu3 zhong4 qian1
1302,安居乐业,an1 ju1 le4 ye4
1303,安常守故,an1 chang2 shou3 gu4
1304,安步当车,an1 bu4 dang4 che1
1305,安然无恙,an1 ran2 wu2 yang4
1306,安老怀少,an1 lao3 huai2 shao4
1307,安营扎寨,an1 ying2 zha1 zhai4
1308,安身立命,an1 shen1 li4 ming4
1309,安邦定国,an1 bang1 ding4 guo2
1310,完璧归赵,wan2 bi4 gui1 zhao4
1311,完美无缺,wan2 mei3 wu2 que1
1312,官官相护,guan1 guan1 xiang1 hu4
1313,官样文章,guan1 yang4 wen2 zhang1
1314,官止神行,guan1 zhi3 shen2 xing2
1315,实事求是,shi2 shi4 qiu2 shi4
1316,宠辱不惊,chong3 ru3 bu4 jing1
1317,审时度势,shen3 shi2 duo2 shi4
1318,害群之马,hai4 qun2 zhi1 ma3
1319,宵衣旰食,xiao1 yi1 gan4 shi2
1320,家喻户晓,jia1 yu4 hu4 xiao3
1321,家学渊源,jia1 xue2 yuan1 yuan2
1322,家常便饭,jia1 chang2 bian4 fan4
1323,家弦户诵,jia1 xian2 hu4 song4
1324,家徒四壁,jia1 tu2 si4 bi4
1325,家无斗储,jia1 wu2 dou4 chu3
1326,家破人亡,jia1 po4 ren2 wang2
1327,家翻宅乱,jia1 fan1 zhai2 luan4
1328,家贼难防,jia1 zei2 nan2 fang2
1329,家道中落,jia1 dao4 zhong1 luo4
1330,家鸡野鹜,jia1 ji1 ye3 wu4
1331,容光焕发,rong2 guang1 huan4 fa1
1332,宽仁大度,kuan1 ren2 da4 du4
1333,宽以待人,kuan1 yi3 dai4 ren2
1334,宽大为怀,kuan1 da4 wei2 huai2
1335,宽宏大量,kuan1 hong2 da4 liang4
1336,宾客盈门,bin1 ke4 ying2 men2
1337,宾至如归,bin1 zhi4 ru2 gui1
1338,寄人篱下,ji4 ren2 li2 xia4
1339,寄雁传书,ji4 yan4 chuan2 shu1
1340,寅吃卯粮,yin2 chi1 mao3 liang2
1341,密云不雨,mi4 yun2 bu4 yu3
1342,富丽堂皇,fu4 li4 tang2 huang2
1343,富可敌国,fu4 ke3 di2 guo2
1344,富国强兵,fu4 guo2 qiang2 bing1
1345,富而好礼,fu4 er2 hao3 li3
1346,寒冬腊月,han2 dong1 la4 yue4
1347,寒木春华,han2 mu4 chun1 hua2
1348,寒来暑往,han2 lai2 shu3 wang3
1349,寒气刺骨,han2 qi4 ci4 gu3
1350,寒蝉仗马,han2 chan2 zhang4 ma3
1351,察察而明,cha2 cha2 er2 ming2
1352,察言观色,cha2 yan2 guan1 se4
1353,寡不敌众,gua3 bu4 di2 zhong4
1354,寡见鲜闻,gua3 jian4 xian3 wen2
1355,寥若晨星,liao2 ruo4 chen2 xing1
1356,寸善片长,cun4 shan4 pian4 chang2
1357,寸地尺天,cun4 di4 chi3 tian1
1358,寸有所长,cun4 you3 suo3 chang2
1359,寸步难行,cun4 bu4 nan2 xing2
1360,寸男尺女,cun4 nan2 chi3 nv3
1361,寸草春晖,cun4 cao3 chun1 hui1
1362,寸长尺短,cun4 chang2 chi3 duan3
1363,寸阴若岁,cun4 yin1 ruo4 sui4
1364,对床夜雨,dui4 chuang2 ye4 yu3
1365,对牛弹琴,dui4 niu2 tan2 qin2
1366,对症下药,dui4 zheng4 xia4 yao4
1367,对酒当歌,dui4 jiu3 dang1 ge1
1368,寻根究底,xun2 gen1 jiu1 di3
1369,寻死觅活,xun2 si3 mi4 huo2
1370,寻章摘句,xun2 zhang1 zhai1 ju4
1371,寻花问柳,xun2 hua1 wen4 liu3
1372,寻行数墨,xun2 hang2 shu3 mo4
1373,寿比南山,shou4 bi3 nan2 shan1
1374,寿终正寝,shou4 zhong1 zheng4 qin3
1375,封官许愿,feng1 guan1 xu3 yuan4
1376,封豕长蛇,feng1 shi3 chang2 she2
1377,射石饮羽,she4 shi2 yin3 yu3
1378,将信将疑,jiang1 xin4 jiang1 yi2
1379,将功赎罪,jiang1 gong1 shu2 zui4
1380,将心比心,jiang1 xin1 bi3 xin1
1381,将计就计,jiang1 ji4 jiu4 ji4
1382,将错就错,jiang1 cuo4 jiu4 cuo4
1383,尊师重道,zun1 shi1 zhong4 dao4
1384,小家碧玉,xiao3 jia1 bi4 yu4
1385,小心翼翼,xiao3 xin1 yi4 yi4
1386,小惩大诫,xiao3 cheng2 da4 jie4
1387,小题大做,xiao3 ti2 da4 zuo4
1388,少不更事,shao4 bu4 geng1 shi4
1389,少安毋躁,shao3 an1 wu2 zao4
1390,少年老成,shao4 nian2 lao3 cheng2
1391,少条失教,shao3 tiao2 shi1 jiao4
1392,少见多怪,shao3 jian4 duo1 guai4
1393,尔虞我诈,er3 yu2 wo3 zha4
1394,尖嘴猴腮,jian1 zui3 hou2 sai1
1395,就事论事,jiu4 shi4 lun4 shi4
1396,就地正法,jiu4 di4 zheng4 fa3
1397,尸位素餐,shi1 wei4 su4 can1
1398,尺寸之功,chi3 cun4 zhi1 gong1
1399,尺布斗粟,chi3 bu4 dou3 su4
1400,尺板斗食,chi3 ban3 dou4 shi2
1401,尺水丈波,chi3 shui3 zhang4 bo1
1402,尽入彀中,jin4 ru4 gou4 zhong1
1403,尽其在我,jin3 qi2 zai4 wo3
1404,尽善尽美,jin4 shan4 jin4 mei3
1405,尽态极妍,jin4 tai4 ji2 yan2
1406,尽情尽理,jin4 qing2 jin3 li3
1407,局天蹐地,ju2 tian1 ji2 di4
1408,层出叠见,ceng2 chu1 die2 jian4
1409,层峦叠嶂,ceng2 luan2 die2 zhang4
1410,层林尽染,ceng2 lin2 jin3 ran3
1411,居功自傲,ju1 gong1 zi4 ao4
1412,居安思危,ju1 an1 si1 wei1
1413,居敬行简,ju1 jing4 xing2 jian3
1414,居高临下,ju1 gao1 lin2 xia4
1415,屈尊降贵,qu1 zun1 jiang4 gui4
1416,屈打成招,qu1 da3 cheng2 zhao1
1417,屈指可数,qu1 zhi3 ke3 shu3
1418,屏气敛息,bing3 qi4 lian3 xi1
1419,屠龙之技,tu2 long2 zhi1 ji4
1420,屡教不改,lv3 jiao4 bu4 gai3
1421,屡见不鲜,lv3 jian4 bu4 xian1
1422,履险如夷,lv3 xian3 ru2 yi2
1423,山峙渊渟,shan1 zhi4 yuan1 ting2
1424,山明水秀,shan1 ming2 shui3 xiu4
1425,山栖谷饮,shan1 qi1 gu3 yin3
1426,山珍海味,shan1 zhen1 hai3 wei4
1427,山穷水尽,shan1 qiong2 shui3 jin4
1428,山肴野蔌,shan1 yao2 ye3 su4
1429,山辉川媚,shan1 hui1 chuan1 mei4
1430,山高水长,shan1 gao1 shui3 chang2
1431,山鸡舞镜,shan1 ji1 wu3 jing4
1432,岁不我与,sui4 bu4 wo3 yu3
1433,岁云暮矣,sui4 yun2 mu4 yi3
1434,岁寒三友,sui4 han2 san1 you3
1435,岁月如梭,sui4 yue4 ru2 suo1
1436,岌岌可危,ji2 ji2 ke3 wei1
1437,岐黄之术,qi2 huang2 zhi1 shu4
1438,峥嵘岁月,zheng1 rong2 sui4 yue4
1439,峨冠博带,e2 guan1 bo2 dai4
1440,崇山峻岭,chong2 shan1 jun4 ling3
1441,崇本抑末,chong2 ben3 yi4 mo4
1442,崇洋媚外,chong2 yang2 mei4 wai4
1443,左右为难,zuo3 you4 wei2 nan2
1444,左思右想,zuo3 si1 you4 xiang3
1445,左支右绌,zuo3 zhi1 you4 chu4
1446,左顾右盼,zuo3 gu4 you4 pan4
1447,巧取豪夺,qiao3 qu3 hao2 duo2
1448,巧夺天工,qiao3 duo2 tian1 gong1
1449,巧立名目,qiao3 li4 ming2 mu4
1450,巧舌如簧,qiao3 she2 ru2 huang2
1451,巧言令色,qiao3 yan2 ling4 se4
1452,巫山云雨,wu1 shan1 yun2 yu3
1453,差三错四,cha1 san1 cuo4 si4
1454,巴山蜀水,ba1 shan1 shu3 shui3
1455,巾帼英雄,jin1 guo2 ying1 xiong2
1456,布衣粝食,bu4 yi1 li4 shi2
1457,布鼓雷门,bu4 gu3 lei2 men2
1458,师出无名,shi1 chu1 wu2 ming2
1459,师直为壮,shi1 zhi2 wei2 zhuang4
1460,带金佩紫,dai4 jin1 pei4 zi3
1461,席上之珍,xi2 shang4 zhi1 zhen1
1462,帮闲钻懒,bang1 xian2 zuan1 lan3
1463,常年累月,chang2 nian2 lei4 yue4
1464,干柴烈火,gan1 chai2 lie4 huo3
1465,平分秋色,ping2 fen1 qiu1 se4
1466,平地风波,ping2 di4 feng1 bo1
1467,平心静气,ping2 xin1 jing4 qi4
1468,平易近人,ping2 yi4 jin4 ren2
1469,平步青云,ping2 bu4 qing1 yun2
1470,平淡无奇,ping2 dan4 wu2 qi2
1471,平白无故,ping2 bai2 wu2 gu4
1472,平起平坐,ping2 qi3 ping2 zuo4
1473,年富力强,nian2 fu4 li4 qiang2
1474,年老色衰,nian2 lao3 se4 shuai1
1475,年逾古稀,nian2 yu2 gu3 xi1
1476,并驾齐驱,bing4 jia4 qi2 qu1
1477,幸灾乐祸,xing4 zai1 le4 huo4
1478,广开言路,guang3 kai1 yan2 lu4
1479,广结良缘,guang3 jie2 liang2 yuan2
1480,应对如流,ying4 dui4 ru2 liu2
1481,应有尽有,ying1 you3 jin4 you3
1482,庖丁解牛,pao2 ding1 jie3 niu2
1483,庞然大物,pang2 ran2 da4 wu4
1484,庞眉皓发,pang2 mei2 hao4 fa4
1485,废寝忘食,fei4 qin3 wang4 shi2
1486,度日如年,du4 ri4 ru2 nian2
1487,座无虚席,zuo4 wu2 xu1 xi2
1488,庸人自扰,yong1 ren2 zi4 rao3
1489,廉明公正,lian2 ming2 gong1 zheng4
1490,廉远堂高,lian2 yuan3 tang2 gao1
1491,延年益寿,yan2 nian2 yi4 shou4
1492,建功立业,jian4 gong1 li4 ye4
1493,开卷有益,kai1 juan4 you3 yi4
1494,开天辟地,kai1 tian1 pi4 di4
1495,开宗明义,kai1 zong1 ming2 yi4
1496,开源节流,kai1 yuan2 jie2 liu2
1497,开疆拓土,kai1 jiang1 tuo4 tu3
1498,开花结果,kai1 hua1 jie2 guo3
1499,开诚布公,kai1 cheng2 bu4 gong1
1500,开门揖盗,kai1 men2 yi1 dao4
1501,异口同声,yi4 kou3 tong2 sheng1
1502,异想天开,yi4 xiang3 tian1 kai1
1503,异曲同工,yi4 qu3 tong2 gong1
1504,弃如敝屣,qi4 ru2 bi4 xi3
1505,弃恶从善,qi4 e4 cong2 shan4
1506,弃文就武,qi4 wen2 jiu4 wu3
1507,弃旧图新,qi4 jiu4 tu2 xin1
1508,弃暗投明,qi4 an4 tou2 ming2
1509,弃甲曳兵,qi4 jia3 ye4 bing1
1510,弄假成真,nong4 jia3 cheng2 zhen1
1511,弄巧成拙,nong4 qiao3 cheng2 zhuo1
1512,引人入胜,yin3 ren2 ru4 sheng4
1513,引咎自责,yin3 jiu4 zi4 ze2
1514,引狼入室,yin3 lang2 ru4 shi4
1515,引经据典,yin3 jing1 ju4 dian3
1516,引蛇出洞,yin3 she2 chu1 dong4
1517,引车卖浆,yin3 che1 mai4 jiang1
1518,引锥刺股,yin3 zhui1 ci4 gu3
1519,张冠李戴,zhang1 guan1 li3 dai4
1520,张灯结彩,zhang1 deng1 jie2 cai3
1521,张牙舞爪,zhang1 ya2 wu3 zhao3
1522,弦外之音,xian2 wai4 zhi1 yin1
1523,弱不禁风,ruo4 bu4 jin1 feng1
1524,弱肉强食,ruo4 rou4 qiang2 shi2
1525,弹丝品竹,tan2 si1 pin3 zhu2
1526,弹冠相庆,tan2 guan1 xiang1 qing4
1527,弹尽粮绝,dan4 jin4 liang2 jue2
1528,强人所难,qiang3 ren2 suo3 nan2
1529,强弩之末,qiang2 nu3 zhi1 mo4
1530,强死强活,qiang3 si3 qiang3 huo2
1531,强词夺理,qiang3 ci2 duo2 li3
1532,归心似箭,gui1 xin1 si4 jian4
1533,归根结底,gui1 gen1 jie2 di3
1534,归马放牛,gui1 ma3 fang4 niu2
1535,当仁不让,dang1 ren2 bu4 rang4
1536,当头棒喝,dang1 tou2 bang4 he4
1537,当家作主,dang1 jia1 zuo4 zhu3
1538,当局者迷,dang1 ju2 zhe3 mi2
1539,当机立断,dang1 ji1 li4 duan4
1540,当行出色,dang1 hang2 chu1 se4
1541,形单影只,xing2 dan1 ying3 zhi1
1542,形同陌路,xing2 tong2 mo4 lu4
1543,形形色色,xing2 xing2 se4 se4
1544,形影相吊,xing2 ying3 xiang1 diao4
1545,形销骨立,xing2 xiao1 gu3 li4
1546,彩凤随鸦,cai3 feng4 sui2 ya1
1547,彬彬有礼,bin1 bin1 you3 li3
1548,彻首彻尾,che4 shou3 che4 wei3
1549,径行直遂,jing4 xing2 zhi2 sui2
1550,待人接物,dai4 ren2 jie1 wu4
1551,待价而沽,dai4 jia4 er2 gu1
1552,待时而举,dai4 shi2 er2 ju3
1553,徒劳无功,tu2 lao2 wu2 gong1
1554,徒托空言,tu2 tuo1 kong1 yan2
1555,徒有虚名,tu2 you3 xu1 ming2
1556,得不偿失,de2 bu4 chang2 shi1
1557,得其三昧,de2 qi2 san1 mei4
1558,得天独厚,de2 tian1 du2 hou4
1559,得寸进尺,de2 cun4 jin4 chi3
1560,得心应手,de2 xin1 ying4 shou3
1561,得意门生,de2 yi4 men2 sheng1
1562,得步进步,de2 bu4 jin4 bu4
1563,得过且过,de2 guo4 qie3 guo4
1564,得道多助,de2 dao4 duo1 zhu4
1565,得陇望蜀,de2 long3 wang4 shu3
1566,得鱼忘筌,de2 yu2 wang4 quan2
1567,循序渐进,xun2 xu4 jian4 jin4
1568,循循善诱,xun2 xun2 shan4 you4
1569,循规蹈矩,xun2 gui1 dao3 ju3
1570,微不足道,wei1 bu4 zu2 dao4
1571,微乎其微,wei1 hu1 qi2 wei1
1572,微言大义,wei1 yan2 da4 yi4
1573,德厚流光,de2 hou4 liu2 guang1
1574,德才兼备,de2 cai2 jian1 bei4
1575,德言容功,de2 yan2 rong2 gong1
1576,德高望重,de2 gao1 wang4 zhong4
1577,心不在焉,xin1 bu4 zai4 yan1
1578,心凝形释,xin1 ning2 xing2 shi4
1579,心劳日拙,xin1 lao2 ri4 zhuo1
1580,心向往之,xin1 xiang4 wang3 zhi1
1581,心如刀割,xin1 ru2 dao1 ge1
1582,心安理得,xin1 an1 li3 de2
1583,心宽体胖,xin1 kuan1 ti3 pan2
1584,心平气和,xin1 ping2 qi4 he2
1585,心心相印,xin1 xin1 xiang1 yin4
1586,心怀叵测,xin1 huai2 po3 ce4
1587,心急如焚,xin1 ji2 ru2 fen2
1588,心悦诚服,xin1 yue4 cheng2 fu2
1589,心惊肉跳,xin1 jing1 rou4 tiao4
1590,心慌意乱,xin1 huang1 yi4 luan4
1591,心旌摇曳,xin1 jing1 yao2 ye4
1592,心无旁骛,xin1 wu2 pang2 wu4
1593,心旷神怡,xin1 kuang4 shen2 yi2
1594,心明眼亮,xin1 ming2 yan3 liang4
1595,心有灵犀,xin1 you3 ling2 xi1
1596,心满意足,xin1 man3 yi4 zu2
1597,心灰意冷,xin1 hui1 yi4 leng3
1598,心照不宣,xin1 zhao4 bu4 xuan1
1599,心狠手辣,xin1 hen3 shou3 la4
1600,心猿意马,xin1 yuan2 yi4 ma3
1601,心甘情愿,xin1 gan1 qing2 yuan4
1602,心直口快,xin1 zhi2 kou3 kuai4
1603,心腹之患,xin1 fu4 zhi1 huan4
1604,心花怒放,xin1 hua1 nu4 fang4
1605,心血来潮,xin1 xue4 lai2 chao2
1606,心领神会,xin1 ling3 shen2 hui4
1607,心香一瓣,xin1 xiang1 yi1 ban4
1608,心驰神往,xin1 chi2 shen2 wang3
1609,心高气傲,xin1 gao1 qi4 ao4
1610,必经之路,bi4 jing1 zhi1 lu4
1611,忍无可忍,ren3 wu2 ke3 ren3
1612,忍气吞声,ren3 qi4 tun1 sheng1
1613,忍痛割爱,ren3 tong4 ge1 ai4
1614,志同道合,zhi4 tong2 dao4 he2
1615,志大才疏,zhi4 da4 cai2 shu1
1616,忘乎所以,wang4 hu1 suo3 yi3
1617,忘恩负义,wang4 en1 fu4 yi4
1618,忙里偷闲,mang2 li3 tou1 xian2
1619,忠心耿耿,zhong1 xin1 geng3 geng3
1620,忠肝义胆,zhong1 gan1 yi4 dan3
1621,忠言逆耳,zhong1 yan2 ni4 er3
1622,忠贞不渝,zhong1 zhen1 bu4 yu2
1623,忧国忧民,you1 guo2 you1 min2
1624,忧心忡忡,you1 xin1 chong1 chong1
1625,快刀斩麻,kuai4 dao1 zhan3 ma2
1626,快马加鞭,kuai4 ma3 jia1 bian1
1627,怀宝迷邦,huai2 bao3 mi2 bang1
1628,怀才不遇,huai2 cai2 bu2 yu4
1629,怀珠抱玉,huai2 zhu1 bao4 yu4
1630,怀瑾握瑜,huai2 jin3 wo4 yu2
1631,怀质抱真,huai2 zhi4 bao4 zhen1
1632,怀金垂紫,huai2 jin1 chui2 zi3
1633,怅然自失,chang4 ran2 zi4 shi1
1634,怒不可遏,nu4 bu4 ke3 e4
1635,怒发冲冠,nu4 fa4 chong1 guan1
1636,怒气冲天,nu4 qi4 chong1 tian1
1637,思前想后,si1 qian2 xiang3 hou4
1638,怡情悦性,yi2 qing2 yue4 xing4
1639,怡然自得,yi2 ran2 zi4 de2
1640,急中生智,ji2 zhong1 sheng1 zhi4
1641,急公好义,ji2 gong1 hao4 yi4
1642,急功近利,ji2 gong1 jin4 li4
1643,急如星火,ji2 ru2 xing1 huo3
1644,急流勇退,ji2 liu2 yong3 tui4
1645,急转直下,ji2 zhuan3 zhi2 xia4
1646,性命攸关,xing4 ming4 you1 guan1
1647,怨天尤人,yuan4 tian1 you2 ren2
1648,怪力乱神,guai4 li4 luan4 shen2
1649,怪模怪样,guai4 mo2 guai4 yang4
1650,总而言之,zong3 er2 yan2 zhi1
1651,恃强凌弱,shi4 qiang2 ling2 ruo4
1652,恃才扬己,shi4 cai2 yang2 ji3
1653,恋恋难舍,lian4 lian4 nan2 she3
1654,恋酒贪花,lian4 jiu3 tan1 hua1
1655,恍如隔世,huang3 ru2 ge2 shi4
1656,恣意妄行,zi4 yi4 wang4 xing2
1657,恤孤念寡,xu4 gu1 nian4 gua3
1658,恨之入骨,hen4 zhi1 ru4 gu3
1659,恩同再造,en1 tong2 zai4 zao4
1660,恩威并济,en1 wei1 bing4 ji4
1661,恩将仇报,en1 jiang1 chou2 bao4
1662,恩山义海,en1 shan1 yi4 hai3
1663,恬不为怪,tian2 bu4 wei2 guai4
1664,恭恭敬敬,gong1 gong1 jing4 jing4
1665,恭贺新禧,gong1 he4 xin1 xi3
1666,恭逢其盛,gong1 feng2 qi2 sheng4
1667,息事宁人,xi1 shi4 ning2 ren2
1668,恰到好处,qia4 dao4 hao3 chu4
1669,恰如其分,qia4 ru2 qi2 fen4
1670,恶直丑正,e4 zhi2 chou3 zheng4
1671,恶紫夺朱,wu4 zi3 duo2 zhu1
1672,恶言詈辞,e4 yan2 li4 ci2
1673,恶贯满盈,e4 guan4 man3 ying2
1674,恻隐之心,ce4 yin3 zhi1 xin1
1675,悔之晚矣,hui3 zhi1 wan3 yi3
1676,悖入悖出,bei4 ru4 bei4 chu1
1677,患得患失,huan4 de2 huan4 shi1
1678,患难与共,huan4 nan4 yu3 gong4
