index,chinese_idiom,pinyin
180,东食西宿,dong1 shi2 xi1 su4
181,东鳞西爪,dong1 lin2 xi1 zhao3
182,丝丝入扣,si1 si1 ru4 kou4
183,丝恩发怨,si1 en1 fa4 yuan4
184,丝毫不差,si1 hao2 bu4 cha4
185,丢三落四,diu1 san1 la4 si4
186,丢盔弃甲,diu1 kui1 qi4 jia3
187,两全其美,liang3 quan2 qi2 mei3
188,两小无猜,liang3 xiao3 wu2 cai1
189,两袖清风,liang3 xiu4 qing1 feng1
190,两败俱伤,liang3 bai4 ju4 shang1
191,两面三刀,liang3 mian4 san1 dao1
192,严于律己,yan2 yu2 lv4 ji3
193,严惩不贷,yan2 cheng2 bu4 dai4
194,严阵以待,yan2 zhen4 yi3 dai4
195,丧家之犬,sang4 jia1 zhi1 quan3
196,丧尽天良,sang4 jin4 tian1 liang2
197,丧心病狂,sang4 xin1 bing4 kuang2
198,中庸之道,zhong1 yong1 zhi1 dao4
199,中流砥柱,zhong1 liu2 di3 zhu4
200,丰功伟绩,feng1 gong1 wei3 ji4
201,丰富多彩,feng1 fu4 duo1 cai3
202,丰衣足食,feng1 yi1 zu2 shi2
203,临事而惧,lin2 shi4 er2 ju4
204,临危不惧,lin2 wei1 bu4 ju4
205,临崖勒马,lin2 ya2 le4 ma3
206,临池学书,lin2 chi2 xue2 shu1
207,临深履薄,lin2 shen1 lv3 bo2
208,临渊羡鱼,lin2 yuan1 xian4 yu2
209,临渴掘井,lin2 ke3 jue2 jing3
210,临潼斗宝,lin2 tong2 dou4 bao3
211,临阵磨枪,lin2 zhen4 mo2 qiang1
212,丹书铁契,dan1 shu1 tie3 qi4
213,丹楹刻桷,dan1 ying2 ke4 jue2
214,为人师表,wei2 ren2 shi1 biao3
215,为善最乐,wei2 shan4 zui4 le4
216,为富不仁,wei2 fu4 bu4 ren2
217,为所欲为,wei2 suo3 yu4 wei2
218,为虎作伥,wei4 hu3 zuo4 chang1
219,为非作歹,wei2 fei1 zuo4 dai3
220,丽藻春葩,li4 zao3 chun1 pa1
221,举一反三,ju3 yi1 fan3 san1
222,举世闻名,ju3 shi4 wen2 ming2
223,举例发凡,ju3 li4 fa1 fan2
224,举案齐眉,ju3 an4 qi2 mei2
225,举棋不定,ju3 qi2 bu4 ding4
226,举止娴雅,ju3 zhi3 xian2 ya3
227,举直错枉,ju3 zhi2 cuo4 wang3
228,举眼无亲,ju3 yan3 wu2 qin1
229,义不容辞,yi4 bu4 rong2 ci2
230,义愤填膺,yi4 fen4 tian2 ying1
231,义无反顾,yi4 wu2 fan3 gu4
232,义正词严,yi4 zheng4 ci2 yan2
233,义结金兰,yi4 jie2 jin1 lan2
234,之乎者也,zhi1 hu1 zhe3 ye3
235,乌合之众,wu1 he2 zhi1 zhong4
236,乌头马角,wu1 tou2 ma3 jiao3
237,乌烟瘴气,wu1 yan1 zhang4 qi4
238,乌飞兔走,wu1 fei1 tu4 zou3
239,乌鸟私情,wu1 niao3 si1 qing2
240,乐不思蜀,le4 bu4 si1 shu3
241,乐以忘忧,le4 yi3 wang4 you1
242,乐善好施,le4 shan4 hao4 shi1
243,乐在其中,le4 zai4 qi2 zhong1
244,乐山乐水,le4 shan1 le4 shui3
245,乐极生悲,le4 ji2 sheng1 bei1
246,乐而忘归,le4 er2 wang4 gui1
247,乔装打扮,qiao2 zhuang1 da3 ban4
248,乘人之危,cheng2 ren2 zhi1 wei1
249,乘坚驱良,cheng2 jian1 qu1 liang2
250,乘肥衣轻,cheng2 fei2 yi4 qing1
251,乘虚而入,cheng2 xu1 er2 ru4
252,乘风破浪,cheng2 feng1 po4 lang4
253,乘龙快婿,cheng2 long2 kuai4 xu4
254,九合一匡,jiu3 he2 yi1 kuang1
255,九死一生,jiu3 si3 yi4 sheng1
256,九牛一毛,jiu3 niu2 yi4 mao2
257,九霄云外,jiu3 xiao1 yun2 wai4
258,习以为常,xi2 yi3 wei2 chang2
259,书剑飘零,shu1 jian4 piao1 ling2
260,书香门第,shu1 xiang1 men2 di4
261,买椟还珠,mai3 du2 huan2 zhu1
262,买牛卖剑,mai3 niu2 mai4 jian4
263,买空卖空,mai3 kong1 mai4 kong1
264,乱七八糟,luan4 qi1 ba1 zao1
265,乱琼碎玉,luan4 qiong2 sui4 yu4
